<34.021626, -118.283029> Leavey Library
<34.021350, -118.282545> Starbucks
<34.021392, -118.282861> Waterwork1
<34.020306, -118.284063> Doheny Memorial Library
<34.020248, -118.285248> Waterwork2
<34.019739, -118.285797> Moreton Fig
<34.018801, -118.286303> Gate1
<34.020037, -118.286322> Burger Crush
<34.020324, -118.286122> Waterwork3
<34.019401, -118.288917> Science & Engineering Library
<34.018795, -118.288862> Gate2
<34.022672, -118.283777> Gate3
<34.028632, -118.300076> Home



